,Athlete,Gender,Event,Medal,DOB,height,weight_lbs,weight_kg,DOB1,Age,Year
649,"STEINSEIFER, Carolyn",Women,100m freestyle,Gold,"February 12, 1968 (age 48 years)",167.64,126,57.27272727,"February 12, 1968 ",16.5616438356,1984
650,"PFEIFFER, Stefan",Men,1500m freestyle,Bronze,"November 15, 1965 (age 50 years)",190.5,176,80,"November 15, 1965 ",18.8054794521,1984
651,"O'BRIEN, Michael Jon",Men,1500m freestyle,Gold,,,154,70,,,1984
652,"DICARLO, George Thomas",Men,1500m freestyle,Silver,,180.34,163,74.09090909,,,1984
653,"HENNING, Cameron",Men,200m backstroke,Bronze,"November 24, 1960 (age 55 years)",187.96,185,84.09090909,"November 24, 1960 ",23.7835616438,1984
654,"CAREY, Richard John",Men,200m backstroke,Gold,,182.88,181,82.27272727,,,1984
655,"DELCOURT, Frederic",Men,200m backstroke,Silver,"February 14, 1964 (age 52 years)",180.34,,#VALUE!,"February 14, 1964 ",20.5589041096,1984
656,"PATRASCOIU, Aneta",Women,200m backstroke,Bronze,"October 17, 1967 (age 49 years)",177.8,,#VALUE!,"October 17, 1967 ",16.8849315068,1984
657,"DE ROVER, Jolanda",Women,200m backstroke,Gold,"October 10, 1963 (age 53 years)",185.42,154,70,"October 10, 1963 ",20.9068493151,1984
658,"WHITE, Amy Lee",Women,200m backstroke,Silver,,,126,57.27272727,,,1984
659,"DAGON, Etienne",Men,200m breaststroke,Bronze,,,,#VALUE!,,,1984
660,"DAVIS, Victor",Men,200m breaststroke,Gold,,187.96,192,87.27272727,,,1984
661,"BERINGEN, Glenn",Men,200m breaststroke,Silver,,185.42,159,72.27272727,,,1984
662,"LEMPEREUR, Ingrid",Women,200m breaststroke,Bronze,,,126,57.27272727,,,1984
663,"OTTENBRITE, Anne",Women,200m breaststroke,Gold,"May 12, 1966 (age 50 years)",175.26,132,60,"May 12, 1966 ",18.3178082192,1984
664,"RAPP, Susan Gerard",Women,200m breaststroke,Silver,"July 5, 1965 (age 51 years)",177.8,146,66.36363636,"July 5, 1965 ",19.1698630137,1984
665,"VIDAL CASTRO, Rafael Antonio",Men,200m butterfly,Bronze,6-Jan-64,180.34,159,72.27272727,6-Jan-64,,1984
666,"SIEBEN, Jonathan",Men,200m butterfly,Gold,"August 24, 1966 (age 50 years)",175.26,163,74.09090909,"August 24, 1966 ",18.0328767123,1984
667,"GROSS, Michael",Men,200m butterfly,Silver,"June 21, 1947 (age 69 years)",190.5,,#VALUE!,"June 21, 1947 ",,1984
668,"BEYERMANN, Ina",Women,200m butterfly,Bronze,"April 11, 1965 (age 51 years)",,132,60,"April 11, 1965 ",19.402739726,1984
669,"MEAGHER, Mary T.",Women,200m butterfly,Gold,"October 27, 1964 (age 52 years)",172.72,141,64.09090909,"October 27, 1964 ",19.8575342466,1984
670,"PHILLIPS, Karen",Women,200m butterfly,Silver,"September 7, 1945 (age 71 years)",,128,58.18181818,"September 7, 1945 ",,1984
671,"FAHRNER, Thomas",Men,200m freestyle,Bronze,"February 7, 1963 (age 53 years)",187.96,176,80,"February 7, 1963 ",21.5780821918,1984
672,"GROSS, Michael",Men,200m freestyle,Gold,"June 21, 1947 (age 69 years)",190.5,,#VALUE!,"June 21, 1947 ",,1984
673,"HEATH, Michael Steward",Men,200m freestyle,Silver,"April 9, 1964 (age 52 years)",182.88,170,77.27272727,"April 9, 1964 ",20.4082191781,1984
674,"VERSTAPPEN, Annemarie",Women,200m freestyle,Bronze,"October 3, 1965 (age 51 years)",,146,66.36363636,"October 3, 1965 ",18.9232876712,1984
675,"WAYTE, Mary Alice",Women,200m freestyle,Gold,"March 25, 1965 (age 51 years)",175.26,128,58.18181818,"March 25, 1965 ",19.4493150685,1984
676,"WOODHEAD, Cynthia Lee",Women,200m freestyle,Silver,"February 7, 1964 (age 52 years)",167.64,119,54.09090909,"February 7, 1964 ",20.5780821918,1984
677,"COCHRAN, Neil",Men,200m individual medley,Bronze,"April 12, 1965 (age 51 years)",175.26,154,70,"April 12, 1965 ",19.4,1984
678,"BAUMANN, Alexander",Men,200m individual medley,Gold,"April 21, 1964 (age 52 years)",187.96,176,80,"April 21, 1964 ",20.3753424658,1984
679,"MORALES, Pablo",Men,200m individual medley,Silver,"December 5, 1964 (age 51 years)",190.5,185,84.09090909,"December 5, 1964 ",19.7506849315,1984
680,"PEARSON, Michelle",Women,200m individual medley,Bronze,"April 22, 1962 (age 54 years)",182.88,157,71.36363636,"April 22, 1962 ",22.3753424658,1984
681,"CAULKINS, Tracy Anne",Women,200m individual medley,Gold,"January 11, 1963 (age 53 years)",175.26,,#VALUE!,"January 11, 1963 ",21.6520547945,1984
682,"HOGSHEAD, Nancy Lynn",Women,200m individual medley,Silver,"April 17, 1962 (age 54 years)",172.72,146,66.36363636,"April 17, 1962 ",22.3890410959,1984
683,"LEMBERG, Justin",Men,400m freestyle,Bronze,"August 23, 1966 (age 50 years)",182.88,172,78.18181818,"August 23, 1966 ",18.0356164384,1984
684,"DICARLO, George Thomas",Men,400m freestyle,Gold,,180.34,163,74.09090909,,,1984
685,"MYKKANEN, John Cary",Men,400m freestyle,Silver,"September 8, 1966 (age 50 years)",180.34,146,66.36363636,"September 8, 1966 ",17.9917808219,1984
686,"CROFT, June",Women,400m freestyle,Bronze,"June 17, 1963 (age 53 years)",170.18,132,60,"June 17, 1963 ",21.2219178082,1984
687,"COHEN, Tiffany Lisa",Women,400m freestyle,Gold,"June 11, 1966 (age 50 years)",175.26,139,63.18181818,"June 11, 1966 ",18.2356164384,1984
688,"HARDCASTLE, Sarah",Women,400m freestyle,Silver,"April 9, 1969 (age 47 years)",182.88,132,60,"April 9, 1969 ",15.4054794521,1984
689,"WOODHOUSE, Robert",Men,400m individual medley,Bronze,"April 28, 1773",190.5,170,77.27272727,"April 28, 1773",21.1479452055,1984
690,"BAUMANN, Alexander",Men,400m individual medley,Gold,"April 21, 1964 (age 52 years)",187.96,176,80,"April 21, 1964 ",20.3753424658,1984
691,"PRADO, Ricardo",Men,400m individual medley,Silver,"January 3, 1965 (age 51 years)",167.64,123,55.90909091,"January 3, 1965 ",19.6712328767,1984
692,"ZINDLER, Petra",Women,400m individual medley,Bronze,"February 11, 1966 (age 50 years)",,119,54.09090909,"February 11, 1966 ",18.5643835616,1984
693,"CAULKINS, Tracy Anne",Women,400m individual medley,Gold,"January 11, 1963 (age 53 years)",175.26,,#VALUE!,"January 11, 1963 ",21.6520547945,1984
694,"LANDELLS, Suzanne",Women,400m individual medley,Silver,,162.56,126,57.27272727,,,1984
695,"HARDCASTLE, Sarah",Women,800m freestyle,Bronze,"April 9, 1969 (age 47 years)",182.88,132,60,"April 9, 1969 ",15.4054794521,1984
696,"COHEN, Tiffany Lisa",Women,800m freestyle,Gold,"June 11, 1966 (age 50 years)",175.26,139,63.18181818,"June 11, 1966 ",18.2356164384,1984
697,"RICHARDSON, Michele",Women,800m freestyle,Silver,,172.72,,#VALUE!,,,1984
698,"POLYANSKI, Igor",Men,100m backstroke,Bronze,,190.5,,#VALUE!,,,1988
699,"SUZUKI, Daichi",Men,100m backstroke,Gold,,180.34,150,68.18181818,,,1988
700,"BERKOFF, David Charles",Men,100m backstroke,Silver,,175.26,154,70,,,1988
701,"SIRCH, Cornelia",Women,100m backstroke,Bronze,,175.26,154,70,,,1988
702,"OTTO, Kristin",Women,100m backstroke,Gold,"February 7, 1966 (age 50 years)",185.42,154,70,"February 7, 1966 ",22.5780821918,1988
703,"EGERSZEGI, Krisztina",Women,100m backstroke,Silver,"August 16, 1974 (age 42 years)",175.26,126,57.27272727,"August 16, 1974 ",14.0520547945,1988
704,"VOLKOV, Dmitri",Men,100m breaststroke,Bronze,"May 25, 1995 (age 21 years)",200.66,,#VALUE!,"May 25, 1995 ",,1988
705,"MOORHOUSE, Adrian David",Men,100m breaststroke,Gold,"May 24, 1964 (age 52 years)",187.96,192,87.27272727,"May 24, 1964 ",24.2876712329,1988
706,"GUTTLER, Karoly",Men,100m breaststroke,Silver,"June 15, 1968 (age 48 years)",187.96,,#VALUE!,"June 15, 1968 ",20.2246575342,1988
707,"HÉRNER, Silke",Women,100m breaststroke,Bronze,,,,#VALUE!,,,1988
708,"BOGOMILOVA-DANGALAKOVA, Tania",Women,100m breaststroke,Gold,"June 30, 1964 (age 52 years)",,,#VALUE!,"June 30, 1964 ",24.1863013699,1988
709,"FRENKEVA, Antoaneta",Women,100m breaststroke,Silver,"August 24, 1971 (age 45 years)",,121,55,"August 24, 1971 ",17.0328767123,1988
710,"JAMESON, Andrew Dasvid",Men,100m butterfly,Bronze,,190.5,,#VALUE!,,,1988
711,"NESTY, Anthony Conrad",Men,100m butterfly,Gold,,,172,78.18181818,,,1988
712,"BIONDI, Matthew",Men,100m butterfly,Silver,"October 8, 1965 (age 51 years)",200.66,209,95,"October 8, 1965 ",22.9123287671,1988
713,"QIAN, Hong",Women,100m butterfly,Bronze,,,137,62.27272727,,,1988
714,"OTTO, Kristin",Women,100m butterfly,Gold,"February 7, 1966 (age 50 years)",185.42,154,70,"February 7, 1966 ",22.5780821918,1988
715,"WEIGANG, Birte",Women,100m butterfly,Silver,"January 31, 1968 (age 48 years)",175.26,154,70,"January 31, 1968 ",20.597260274,1988
716,"CARON, Stephan",Men,100m freestyle,Bronze,"July 1, 1966 (age 50 years)",,,#VALUE!,"July 1, 1966 ",22.1835616438,1988
717,"BIONDI, Matthew",Men,100m freestyle,Gold,"October 8, 1965 (age 51 years)",200.66,209,95,"October 8, 1965 ",22.9123287671,1988
718,"JACOBS, Christopher Charles",Men,100m freestyle,Silver,,185.42,181,82.27272727,,,1988
719,"PLEWINSKI, Catherine",Women,100m freestyle,Bronze,"July 12, 1968 (age 48 years)",,128,58.18181818,"July 12, 1968 ",20.1506849315,1988
720,"OTTO, Kristin",Women,100m freestyle,Gold,"February 7, 1966 (age 50 years)",185.42,154,70,"February 7, 1966 ",22.5780821918,1988
721,"ZHUANG, Yong",Women,100m freestyle,Silver,"August 10, 1972 (age 44 years)",,170,77.27272727,"August 10, 1972 ",16.0684931507,1988
722,"DASSLER, Uwe",Men,1500m freestyle,Bronze,"February 11, 1967 (age 49 years)",193.04,,#VALUE!,"February 11, 1967 ",21.5671232877,1988
723,"SALNIKOV, Vladimir",Men,1500m freestyle,Gold,"May 21, 1960 (age 56 years)",180.34,163,74.09090909,"May 21, 1960 ",,1988
724,"PFEIFFER, Stefan",Men,1500m freestyle,Silver,"November 15, 1965 (age 50 years)",190.5,176,80,"November 15, 1965 ",22.8082191781,1988
725,"KINGSMAN, Paul",Men,200m backstroke,Bronze,"June 15, 1967 (age 49 years)",182.88,187,85,"June 15, 1967 ",21.2273972603,1988
726,"POLYANSKI, Igor",Men,200m backstroke,Gold,"January 16, 1990 (age 26 years)",190.5,,#VALUE!,"January 16, 1990 ",,1988
727,"BALTRUSCH, Frank",Men,200m backstroke,Silver,"March 21, 1964 (age 52 years)",193.04,203,92.27272727,"March 21, 1964 ",24.4630136986,1988
728,"SIRCH, Cornelia",Women,200m backstroke,Bronze,"October 23, 1966 (age 50 years)",175.26,154,70,"October 23, 1966 ",21.8712328767,1988
729,"EGERSZEGI, Krisztina",Women,200m backstroke,Gold,"August 16, 1974 (age 42 years)",175.26,126,57.27272727,"August 16, 1974 ",14.0520547945,1988
730,"ZIMMERMANN, Kathrin",Women,200m backstroke,Silver,,172.72,143,65,,,1988
731,"LOPEZ MIRO, Sergio",Men,200m breaststroke,Bronze,,,,#VALUE!,,,1988
732,"SZABO, Jozsef",Men,200m breaststroke,Gold,,185.42,,#VALUE!,,,1988
733,"GILLINGHAM, Nick",Men,200m breaststroke,Silver,"January 22, 1967 (age 49 years)",182.88,159,72.27272727,"January 22, 1967 ",21.6219178082,1988
734,"FRENKEVA, Antoaneta",Women,200m breaststroke,Bronze,"August 24, 1971 (age 45 years)",,121,55,"August 24, 1971 ",17.0328767123,1988
735,"HÉRNER, Silke",Women,200m breaststroke,Gold,,,,#VALUE!,,,1988
736,"HUANG, Xiao-Min",Women,200m breaststroke,Silver,"November 13, 1977 (age 38 years)",180.34,,#VALUE!,"November 13, 1977 ",,1988
737,"MOSSE, Anthony",Men,200m butterfly,Bronze,"October 29, 1964 (age 52 years)",182.88,170,77.27272727,"October 29, 1964 ",23.8547945205,1988
738,"GROSS, Michael",Men,200m butterfly,Gold,"June 21, 1947 (age 69 years)",190.5,,#VALUE!,"June 21, 1947 ",,1988
739,"NIELSEN, Benny Leo",Men,200m butterfly,Silver,"March 26, 1966 (age 50 years)",,168,76.36363636,"March 26, 1966 ",22.4493150685,1988
740,"MEAGHER, Mary T.",Women,200m butterfly,Bronze,"October 27, 1964 (age 52 years)",172.72,141,64.09090909,"October 27, 1964 ",23.8602739726,1988
741,"NORD, Kathleen",Women,200m butterfly,Gold,"December 26, 1965 (age 50 years)",175.26,143,65,"December 26, 1965 ",22.695890411,1988
742,"WEIGANG, Birte",Women,200m butterfly,Silver,"January 31, 1968 (age 48 years)",175.26,154,70,"January 31, 1968 ",20.597260274,1988
743,"BIONDI, Matthew",Men,200m freestyle,Bronze,"October 8, 1965 (age 51 years)",200.66,209,95,"October 8, 1965 ",22.9123287671,1988
744,"ARMSTRONG, Duncan John",Men,200m freestyle,Gold,,187.96,163,74.09090909,,,1988
745,"HOLMERTZ, Anders",Men,200m freestyle,Silver,"December 1, 1968 (age 47 years)",185.42,161,73.18181818,"December 1, 1968 ",19.7616438356,1988
746,"STELLMACH, Manuela",Women,200m freestyle,Bronze,"February 22, 1970 (age 46 years)",175.26,143,65,"February 22, 1970 ",18.5342465753,1988
747,"FRIEDRICH, Heike",Women,200m freestyle,Gold,"April 18, 1970 (age 46 years)",172.72,139,63.18181818,"April 18, 1970 ",18.3835616438,1988
748,"POLL AHRENS, Silvia",Women,200m freestyle,Silver,"September 24, 1970 (age 46 years)",193.04,165,75,"September 24, 1970 ",17.9479452055,1988
749,"YAROSHCHUK, Vadim",Men,200m individual medley,Bronze,"April 2, 1966 (age 50 years)",,,#VALUE!,"April 2, 1966 ",22.4301369863,1988
750,"DARNYI, Tamas",Men,200m individual medley,Gold,"June 3, 1967 (age 49 years)",185.42,,#VALUE!,"June 3, 1967 ",21.2602739726,1988
751,"KUHL, Patrick",Men,200m individual medley,Silver,"March 26, 1968 (age 48 years)",190.5,,#VALUE!,"March 26, 1968 ",20.4465753425,1988
752,"LUNG, Noemi Ildiko",Women,200m individual medley,Bronze,"May 16, 1968 (age 48 years)",175.26,,#VALUE!,"May 16, 1968 ",20.3068493151,1988
753,"HUNGER, Daniela",Women,200m individual medley,Gold,"March 20, 1972 (age 44 years)",175.26,139,63.18181818,"March 20, 1972 ",16.4602739726,1988
754,"DENDEBEROVA, Elena",Women,200m individual medley,Silver,"May 4, 1969 (age 47 years)",,,#VALUE!,"May 4, 1969 ",19.3397260274,1988
755,"WOJDAT, Artur",Men,400m freestyle,Bronze,"May 20, 1968 (age 48 years)",193.04,190,86.36363636,"May 20, 1968 ",20.295890411,1988
756,"DASSLER, Uwe",Men,400m freestyle,Gold,"February 11, 1967 (age 49 years)",193.04,,#VALUE!,"February 11, 1967 ",21.5671232877,1988
757,"ARMSTRONG, Duncan John",Men,400m freestyle,Silver,,187.96,163,74.09090909,,,1988
758,"MÉHRING, Anke",Women,400m freestyle,Bronze,,,,#VALUE!,,,1988
759,"EVANS, Janet",Women,400m freestyle,Gold,"August 28, 1971 (age 45 years)",165.1,119,54.09090909,"August 28, 1971 ",17.0219178082,1988
760,"FRIEDRICH, Heike",Women,400m freestyle,Silver,"April 18, 1970 (age 46 years)",172.72,139,63.18181818,"April 18, 1970 ",18.3835616438,1988
761,"BATTISTELLI, Stefano",Men,400m individual medley,Bronze,"March 6, 1970 (age 46 years)",175.26,134,60.90909091,"March 6, 1970 ",18.501369863,1988
762,"DARNYI, Tamas",Men,400m individual medley,Gold,"June 3, 1967 (age 49 years)",185.42,,#VALUE!,"June 3, 1967 ",21.2602739726,1988
763,"WHARTON, David Lee",Men,400m individual medley,Silver,,182.88,174,79.09090909,,,1988
764,"HUNGER, Daniela",Women,400m individual medley,Bronze,"March 20, 1972 (age 44 years)",175.26,139,63.18181818,"March 20, 1972 ",16.4602739726,1988
765,"EVANS, Janet",Women,400m individual medley,Gold,"August 28, 1971 (age 45 years)",165.1,119,54.09090909,"August 28, 1971 ",17.0219178082,1988
766,"LUNG, Noemi Ildiko",Women,400m individual medley,Silver,"May 16, 1968 (age 48 years)",175.26,,#VALUE!,"May 16, 1968 ",20.3068493151,1988
767,"PRIGODA, Guennadi",Men,50m freestyle,Bronze,,180.34,,#VALUE!,,,1988
768,"BIONDI, Matthew",Men,50m freestyle,Gold,"October 8, 1965 (age 51 years)",200.66,209,95,"October 8, 1965 ",22.9123287671,1988
769,"JAGER, Thomas Michael",Men,50m freestyle,Silver,"October 6, 1964 (age 52 years)",190.5,181,82.27272727,"October 6, 1964 ",23.9178082192,1988
770,"MEISSNER, Katrin",Women,50m freestyle,Bronze,"January 17, 1973 (age 43 years)",187.96,,#VALUE!,"January 17, 1973 ",15.6301369863,1988
771,"STERKEL, Gillian Ann",Women,50m freestyle,Bronze,"May 27, 1961 (age 55 years)",180.34,,#VALUE!,"May 27, 1961 ",27.2821917808,1988
772,"OTTO, Kristin",Women,50m freestyle,Gold,"February 7, 1966 (age 50 years)",185.42,154,70,"February 7, 1966 ",22.5780821918,1988
773,"YANG, Wenyi",Women,50m freestyle,Silver,,,137,62.27272727,,,1988
774,"MCDONALD, Julie",Women,800m freestyle,Bronze,,,146,66.36363636,,,1988
775,"EVANS, Janet",Women,800m freestyle,Gold,,165.1,119,54.09090909,,,1988
776,"STRAUSS, Astrid",Women,800m freestyle,Silver,,187.96,,#VALUE!,,,1988
777,"BERKOFF, David Charles",Men,100m backstroke,Bronze,,175.26,154,70,,,1992
778,"TEWKSBURY, Mark",Men,100m backstroke,Gold,,185.42,176,80,,,1992
779,"ROUSE, Jeff Norman",Men,100m backstroke,Silver,,193.04,190,86.36363636,,,1992
780,"LOVELESS, Lea",Women,100m backstroke,Bronze,"April 1, 1971 (age 45 years)",167.64,134,60.90909091,"April 1, 1971 ",21.4328767123,1992
781,"EGERSZEGI, Krisztina",Women,100m backstroke,Gold,"August 16, 1974 (age 42 years)",175.26,126,57.27272727,"August 16, 1974 ",18.0547945205,1992
782,"SZABO, Tunde",Women,100m backstroke,Silver,"May 31, 1974 (age 42 years)",175.26,,#VALUE!,"May 31, 1974 ",18.2657534247,1992
783,"ROGERS, Philip John",Men,100m breaststroke,Bronze,"April 24, 1971 (age 45 years)",182.88,179,81.36363636,"April 24, 1971 ",21.3698630137,1992
784,"DIEBEL, Nelson",Men,100m breaststroke,Gold,"November 9, 1970 (age 45 years)",182.88,185,84.09090909,"November 9, 1970 ",21.8246575342,1992
785,"ROZSA, Norbert",Men,100m breaststroke,Silver,"February 9, 1972 (age 44 years)",185.42,,#VALUE!,"February 9, 1972 ",20.5726027397,1992
786,"RILEY, Samantha Linette",Women,100m breaststroke,Bronze,"November 13, 1972 (age 43 years)",160.02,130,59.09090909,"November 13, 1972 ",19.8109589041,1992
787,"RUDKOVSKAYA, Elena",Women,100m breaststroke,Gold,"April 21, 1973 (age 43 years)",,,#VALUE!,"April 21, 1973 ",19.3753424658,1992
788,"NALL, Anita",Women,100m breaststroke,Silver,"July 21, 1976 (age 40 years)",165.1,123,55.90909091,"July 21, 1976 ",16.1232876712,1992
789,"NESTY, Anthony Conrad",Men,100m butterfly,Bronze,,,172,78.18181818,,,1992
790,"MORALES, Pablo",Men,100m butterfly,Gold,"December 5, 1964 (age 51 years)",190.5,185,84.09090909,"December 5, 1964 ",,1992
791,"SZUKALA, Rafal",Men,100m butterfly,Silver,"April 9, 1971 (age 45 years)",182.88,,#VALUE!,"April 9, 1971 ",21.4109589041,1992
792,"PLEWINSKI, Catherine",Women,100m butterfly,Bronze,"July 12, 1968 (age 48 years)",,128,58.18181818,"July 12, 1968 ",24.1534246575,1992
793,"QIAN, Hong",Women,100m butterfly,Gold,,,137,62.27272727,,,1992
794,"AHMANN-LEIGHTON, Christine",Women,100m butterfly,Silver,"May 20, 1970 (age 46 years)",172.72,115,52.27272727,"May 20, 1970 ",22.298630137,1992
795,"CARON, Stephan",Men,100m freestyle,Bronze,"July 1, 1966 (age 50 years)",,,#VALUE!,"July 1, 1966 ",26.1863013699,1992
796,"POPOV, Alexander",Men,100m freestyle,Gold,"November 16, 1971 (age 44 years)",198.12,,#VALUE!,"November 16, 1971 ",20.8054794521,1992
797,"BORGES, Gustavo",Men,100m freestyle,Silver,"December 2, 1972 (age 43 years)",203.2,216,98.18181818,"December 2, 1972 ",19.7589041096,1992
798,"VAN ALMSICK, Franziska",Women,100m freestyle,Bronze,"April 5, 1978 (age 38 years)",180.34,146,66.36363636,"April 5, 1978 ",14.4164383562,1992
799,"ZHUANG, Yong",Women,100m freestyle,Gold,"August 10, 1972 (age 44 years)",,170,77.27272727,"August 10, 1972 ",20.0712328767,1992
800,"THOMPSON, Jenny",Women,100m freestyle,Silver,"February 26, 1973 (age 43 years)",177.8,152,69.09090909,"February 26, 1973 ",19.5232876712,1992
801,"HOFFMANN, J_rg",Men,1500m freestyle,Bronze,,,,#VALUE!,,,1992
802,"PERKINS, Kieren John",Men,1500m freestyle,Gold,"August 14, 1973 (age 43 years)",193.04,198,90,"August 14, 1973 ",19.0602739726,1992
803,"HOUSMAN, Glen Clifford",Men,1500m freestyle,Silver,"September 3, 1971 (age 45 years)",182.88,176,80,"September 3, 1971 ",21.0082191781,1992
804,"BATTISTELLI, Stefano",Men,200m backstroke,Bronze,"March 6, 1970 (age 46 years)",175.26,134,60.90909091,"March 6, 1970 ",22.504109589,1992
805,"LOPEZ-ZUBERO, Martin",Men,200m backstroke,Gold,"April 23, 1969 (age 47 years)",187.96,,#VALUE!,"April 23, 1969 ",23.3726027397,1992
806,"SELKOV, Vladimir",Men,200m backstroke,Silver,"April 1, 1971 (age 45 years)",187.96,165,75,"April 1, 1971 ",21.4328767123,1992
807,"STEVENSON, Nicole Dawn",Women,200m backstroke,Bronze,"June 24, 1971 (age 45 years)",175.26,143,65,"June 24, 1971 ",21.202739726,1992
808,"EGERSZEGI, Krisztina",Women,200m backstroke,Gold,"August 16, 1974 (age 42 years)",175.26,126,57.27272727,"August 16, 1974 ",18.0547945205,1992
809,"HASE, Dagmar",Women,200m backstroke,Silver,"December 22, 1969 (age 46 years)",182.88,137,62.27272727,"December 22, 1969 ",22.7068493151,1992
810,"GILLINGHAM, Nick",Men,200m breaststroke,Bronze,"January 22, 1967 (age 49 years)",182.88,159,72.27272727,"January 22, 1967 ",25.6246575342,1992
811,"BARROWMAN, Mike",Men,200m breaststroke,Gold,,180.34,165,75,,,1992
812,"ROZSA, Norbert",Men,200m breaststroke,Silver,"February 9, 1972 (age 44 years)",185.42,,#VALUE!,"February 9, 1972 ",20.5726027397,1992
813,"NALL, Anita",Women,200m breaststroke,Bronze,"July 21, 1976 (age 40 years)",165.1,123,55.90909091,"July 21, 1976 ",16.1232876712,1992
814,"IWASAKI, Kyoko",Women,200m breaststroke,Gold,,160.02,110,50,,,1992
815,"LIN, Li",Women,200m breaststroke,Silver,,170.18,152,69.09090909,,,1992
816,"ESPOSITO, Franck",Men,200m butterfly,Bronze,,,163,74.09090909,,,1992
817,"STEWART, Melvin",Men,200m butterfly,Gold,,187.96,183,83.18181818,,,1992
818,"LOADER, Danyon Joseph",Men,200m butterfly,Silver,,187.96,,#VALUE!,,,1992
819,"O'NEILL, Susan",Women,200m butterfly,Bronze,"August 2, 1973 (age 43 years)",170.18,139,63.18181818,"August 2, 1973 ",19.0931506849,1992
820,"SANDERS, Summer",Women,200m butterfly,Gold,"October 13, 1972 (age 44 years)",175.26,126,57.27272727,"October 13, 1972 ",19.895890411,1992
821,"WANG, Xiaohong",Women,200m butterfly,Silver,"November 20, 1968 (age 47 years)",,146,66.36363636,"November 20, 1968 ",23.7945205479,1992
822,"KASVIO, Antti Alexander",Men,200m freestyle,Bronze,"December 20, 1973 (age 42 years)",,75-80,#VALUE!,"December 20, 1973 ",18.7095890411,1992
823,"SADOVYI, Evgueni",Men,200m freestyle,Gold,,,,#VALUE!,,,1992
824,"HOLMERTZ, Anders",Men,200m freestyle,Silver,"December 1, 1968 (age 47 years)",185.42,161,73.18181818,"December 1, 1968 ",23.7643835616,1992
825,"KIELGASS, Kerstin",Women,200m freestyle,Bronze,"December 6, 1969 (age 46 years)",177.8,,#VALUE!,"December 6, 1969 ",22.7506849315,1992
826,"HAISLETT, Nicole Lee",Women,200m freestyle,Gold,"December 16, 1972 (age 43 years)",172.72,141,64.09090909,"December 16, 1972 ",19.7205479452,1992
827,"VAN ALMSICK, Franziska",Women,200m freestyle,Silver,"April 5, 1978 (age 38 years)",180.34,146,66.36363636,"April 5, 1978 ",14.4164383562,1992
828,"CZENE, Attila",Men,200m individual medley,Bronze,"June 20, 1974 (age 42 years)",185.42,168,76.36363636,"June 20, 1974 ",18.2109589041,1992
829,"DARNYI, Tamas",Men,200m individual medley,Gold,"June 3, 1967 (age 49 years)",185.42,,#VALUE!,"June 3, 1967 ",25.2630136986,1992
830,"BURGESS, Gregory",Men,200m individual medley,Silver,1945,193.04,205,93.18181818,1945,,1992
831,"HUNGER, Daniela",Women,200m individual medley,Bronze,"March 20, 1972 (age 44 years)",175.26,139,63.18181818,"March 20, 1972 ",20.4630136986,1992
832,"LIN, Li",Women,200m individual medley,Gold,"April 16, 1976 (age 40 years)",170.18,152,69.09090909,"April 16, 1976 ",16.3863013699,1992
833,"SANDERS, Summer",Women,200m individual medley,Silver,"October 13, 1972 (age 44 years)",175.26,126,57.27272727,"October 13, 1972 ",19.895890411,1992
834,"HOLMERTZ, Anders",Men,400m freestyle,Bronze,"December 1, 1968 (age 47 years)",185.42,161,73.18181818,"December 1, 1968 ",23.7643835616,1992
835,"SADOVYI, Evgueni",Men,400m freestyle,Gold,,,,#VALUE!,,,1992
836,"PERKINS, Kieren John",Men,400m freestyle,Silver,"August 14, 1973 (age 43 years)",193.04,198,90,"August 14, 1973 ",19.0602739726,1992
837,"LEWIS, Hayley Jane",Women,400m freestyle,Bronze,"March 2, 1974 (age 42 years)",170.18,141,64.09090909,"March 2, 1974 ",18.5123287671,1992
838,"HASE, Dagmar",Women,400m freestyle,Gold,"December 22, 1969 (age 46 years)",182.88,137,62.27272727,"December 22, 1969 ",22.7068493151,1992
839,"EVANS, Janet",Women,400m freestyle,Silver,"August 28, 1971 (age 45 years)",165.1,119,54.09090909,"August 28, 1971 ",21.0246575342,1992
840,"SACCHI, Luca",Men,400m individual medley,Bronze,"January 10, 1968 (age 48 years)",185.42,172,78.18181818,"January 10, 1968 ",24.6575342466,1992
841,"DARNYI, Tamas",Men,400m individual medley,Gold,"June 3, 1967 (age 49 years)",185.42,,#VALUE!,"June 3, 1967 ",25.2630136986,1992
842,"NAMESNIK, Eric",Men,400m individual medley,Silver,7-Aug-70,185.42,172,78.18181818,7-Aug-70,22.0821917808,1992
843,"SANDERS, Summer",Women,400m individual medley,Bronze,"October 13, 1972 (age 44 years)",175.26,126,57.27272727,"October 13, 1972 ",19.895890411,1992
844,"EGERSZEGI, Krisztina",Women,400m individual medley,Gold,"August 16, 1974 (age 42 years)",175.26,126,57.27272727,"August 16, 1974 ",18.0547945205,1992
845,"LIN, Li",Women,400m individual medley,Silver,"April 16, 1976 (age 40 years)",170.18,152,69.09090909,"April 16, 1976 ",16.3863013699,1992
846,"JAGER, Thomas Michael",Men,50m freestyle,Bronze,"October 6, 1964 (age 52 years)",190.5,181,82.27272727,"October 6, 1964 ",,1992
